trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2894,False,"{'a': 0.002, 'e': 0.0030702386016375318}",20,7,24.602626782636985,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2895,False,"{'a': 0.002, 'e': 0.003064104260819855}",20,11,15.892657633508078,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2896,False,"{'a': 0.002, 'e': 0.0030579821764233073}",25,14,21.18117573290028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2897,False,"{'a': 0.002, 'e': 0.0030518723239595425}",25,15,18.20697666511914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2898,False,"{'a': 0.002, 'e': 0.0030457746789891403}",30,20,20.233906019297187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2899,False,"{'a': 0.002, 'e': 0.0030396892171215173}",20,14,9.28522849625861,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2900,False,"{'a': 0.002, 'e': 0.003033615914014816}",25,10,28.61744923524844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2901,False,"{'a': 0.002, 'e': 0.0030275547453758153}",30,12,30.73513483574497,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2902,False,"{'a': 0.002, 'e': 0.0030215056869598305}",35,20,25.962419839556855,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2903,False,"{'a': 0.002, 'e': 0.0030154687145706243}",20,13,12.67957313648914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2904,False,"{'a': 0.002, 'e': 0.0030094438040602976}",20,12,14.022874997441052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2905,False,"{'a': 0.002, 'e': 0.0030034309313291996}",25,15,19.52722564753804,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2906,False,"{'a': 0.002, 'e': 0.0029974300723258286}",20,13,14.070396923989286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2907,False,"{'a': 0.002, 'e': 0.0029914412030467466}",25,8,26.860076095814037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2908,False,"{'a': 0.002, 'e': 0.002985464299536465}",20,1,33.1688302233948,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2909,False,"{'a': 0.002, 'e': 0.0029794993378873622}",25,15,20.122020797369494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2910,False,"{'a': 0.002, 'e': 0.002973546294239581}",20,16,6.9808244343310175,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2911,False,"{'a': 0.002, 'e': 0.002967605144780944}",35,22,21.157654829851765,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2912,False,"{'a': 0.002, 'e': 0.002961675865746843}",25,10,25.06967326866395,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2913,False,"{'a': 0.002, 'e': 0.002955758433420154}",20,8,19.921632033462334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2914,False,"{'a': 0.002, 'e': 0.0029498528241311372}",20,16,8.443079983669865,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2915,False,"{'a': 0.002, 'e': 0.0029439590142573526}",25,19,9.858924211372383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2916,False,"{'a': 0.002, 'e': 0.0029380769802235503}",20,7,21.11478823963349,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2917,False,"{'a': 0.002, 'e': 0.002932206698501586}",25,9,25.499876595971248,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2918,False,"{'a': 0.002, 'e': 0.002926348145610323}",35,21,26.097028746549697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2919,False,"{'a': 0.002, 'e': 0.002920501298115547}",25,19,12.017943931621916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2920,False,"{'a': 0.002, 'e': 0.002914666132629857}",25,8,23.615508735340224,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2921,False,"{'a': 0.002, 'e': 0.002908842625812584}",20,13,17.161760306873692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2922,False,"{'a': 0.002, 'e': 0.0029030307543696904}",25,3,33.56335304306589,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2923,False,"{'a': 0.002, 'e': 0.002897230495053687}",20,9,20.934612881685755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2924,False,"{'a': 0.002, 'e': 0.0028914418246635274}",25,11,28.899797336320113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2925,False,"{'a': 0.002, 'e': 0.0028856647200445214}",20,16,7.986393283121444,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2926,False,"{'a': 0.002, 'e': 0.0028798991580882404}",25,13,22.707968514688858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2927,False,"{'a': 0.002, 'e': 0.0028741451157324343}",20,16,9.187383599122196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2928,False,"{'a': 0.002, 'e': 0.0028684025699609234}",30,22,13.91054285735255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2929,False,"{'a': 0.002, 'e': 0.002862671497803517}",30,15,26.98028304242855,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2930,False,"{'a': 0.002, 'e': 0.002856951876335916}",20,7,20.541162994589648,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2931,False,"{'a': 0.002, 'e': 0.0028512436826796323}",25,7,29.39018015043279,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2932,False,"{'a': 0.002, 'e': 0.002845546894001881}",20,12,11.647578419194689,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2933,False,"{'a': 0.002, 'e': 0.0028398614875154993}",25,13,22.357383759569817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2934,False,"{'a': 0.002, 'e': 0.002834187440478852}",20,5,25.227228906152895,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2935,False,"{'a': 0.002, 'e': 0.002828524730195748}",20,12,14.970650605567961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2936,False,"{'a': 0.002, 'e': 0.0028228733340153363}",25,13,18.620759629691932,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2937,False,"{'a': 0.002, 'e': 0.002817233229332024}",20,16,8.923567706434287,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2938,False,"{'a': 0.002, 'e': 0.002811604393585383}",30,12,28.204278163694344,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2939,False,"{'a': 0.002, 'e': 0.002805986804260068}",30,12,30.724792777432768,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2940,False,"{'a': 0.002, 'e': 0.002800380438885711}",25,18,12.589401154162092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2941,False,"{'a': 0.002, 'e': 0.0027947852750368437}",25,18,11.889880563182377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2942,False,"{'a': 0.002, 'e': 0.0027892012903328006}",25,3,31.017621001571634,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2943,False,"{'a': 0.002, 'e': 0.0027836284624376396}",25,9,25.729521108377917,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2944,False,"{'a': 0.002, 'e': 0.0027780667690600405}",25,15,16.472114669713655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2945,False,"{'a': 0.002, 'e': 0.002772516187953221}",25,17,13.792745125095248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2946,False,"{'a': 0.002, 'e': 0.002766976696914851}",20,13,11.830390730154408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2947,False,"{'a': 0.002, 'e': 0.0027614482737869546}",20,5,24.818302340344932,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2948,False,"{'a': 0.002, 'e': 0.002755930896455838}",25,7,28.61097022999283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2949,False,"{'a': 0.002, 'e': 0.002750424542851982}",20,15,10.450677444302666,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2950,False,"{'a': 0.002, 'e': 0.0027449291909499643}",20,8,-23.324380515967803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2951,False,"{'a': 0.002, 'e': 0.0027394448187683684}",20,11,16.35667807689283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2952,False,"{'a': 0.002, 'e': 0.002733971404369702}",20,13,11.403944028123231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2953,False,"{'a': 0.002, 'e': 0.0027285089258602987}",20,10,20.828513228971776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2954,False,"{'a': 0.002, 'e': 0.002723057361390237}",30,20,13.761888866435896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2955,False,"{'a': 0.002, 'e': 0.0027176166891532487}",25,20,10.186959388968653,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2956,False,"{'a': 0.002, 'e': 0.0027121868873866434}",25,5,31.494785557188035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2957,False,"{'a': 0.002, 'e': 0.002706767934371204}",25,8,27.124893788525725,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2958,False,"{'a': 0.002, 'e': 0.0027013598084311106}",30,14,25.164267519732615,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2959,False,"{'a': 0.002, 'e': 0.0026959624879338505}",20,10,19.013829428171977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2960,False,"{'a': 0.002, 'e': 0.0026905759512901393}",25,12,23.987812710980556,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2961,False,"{'a': 0.002, 'e': 0.0026852001769538205}",30,19,21.762256638441276,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2962,False,"{'a': 0.002, 'e': 0.00267983514342179}",20,15,10.72800157738117,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2963,False,"{'a': 0.002, 'e': 0.0026744808292339037}",20,12,13.564564800396386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2964,False,"{'a': 0.002, 'e': 0.0026691372129729026}",20,0,34.60747835375635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2965,False,"{'a': 0.002, 'e': 0.0026638042732643123}",20,3,23.305668936373205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2966,False,"{'a': 0.002, 'e': 0.002658481988776367}",20,10,15.72833527938541,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2967,False,"{'a': 0.002, 'e': 0.002653170338219919}",25,7,32.25139792705929,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2968,False,"{'a': 0.002, 'e': 0.002647869300348364}",35,3,49.1530207353811,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
2969,False,"{'a': 0.002, 'e': 0.0026425788539575406}",20,13,13.308065896299684,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2970,False,"{'a': 0.002, 'e': 0.0026372989778856567}",20,16,7.952669940074293,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2971,False,"{'a': 0.002, 'e': 0.0026320296510131984}",35,17,32.42306778246197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2972,False,"{'a': 0.002, 'e': 0.0026267708522628554}",25,9,31.9634562275798,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2973,False,"{'a': 0.002, 'e': 0.0026215225605994243}",25,15,15.070481754361493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
